User ID,Name,Email,Interests,Age,Address,Device,Duration
4c731e48-0377-4d7d-b4c8-b2174b774ed8,Gary Hill,GHbnuothhymw,"[0, 1]",41,"6208 Wright Mountains
Bryantfurt, AR 02531",Microsoft,11
95258c36-5b6b-4591-85ee-0c43f503c1d5,Michael Deering,MD@gmail.com,['tennis'],23,"534 Williams Turnpike Suite 788
Port Julie, WA 70786",Apple,51
a8229d24-f219-4930-a382-24049a8f73bb,Richard Bain,RB@gmail.com,"['fitness', 'cooking', 'animals', 'travel']",25,"867 Lisa Causeway Apt. 015
West Brentmouth, AL 99540",HTC,25
8f41c07f-db4f-44f3-ae81-1f99cee047eb,Kristi Mccarthy,KM@gmail.com,"['technology', 'culture', 'veganism']",2,"5687 Wilson Harbors Suite 763
Lake Robert, FL 22223",Motorola,68
3af8d78b-55c4-4ac0-8161-7cc3f6ec11c9,Betty Ellis,BE@gmail.com,['education'],44,"Unit 2614 Box 8996
DPO AE 23660",Huawei,57
2bd9c167-e06c-47c1-a978-3403d6724606,Hazel Neville,HN@gmail.com,"['culture', 'healthy eating']",28,"42350 Wilson Turnpike Suite 472
Mendezmouth, VT 50550",Apple,90
7dd7dec0-5758-4a6e-a7dd-27a20e57c757,Kathryn Henderson,KH@gmail.com,"['cooking', 'technology', 'fitness']",2,"998 Lauren Villages Suite 720
Susanland, HI 92070",Apple,40
f62c96d8-5b1e-45c6-8a65-b36a9387827d,Charles Pennington,CP@gmail.com,"['food', 'culture']",4,"418 Jennifer Motorway Suite 815
Cruzview, GA 03543",Microsoft,6
22056f9e-4654-44e9-930d-2fabdeb80f95,Chester Smith,CS@gmail.com,"['public speaking', 'science', 'veganism', 'tennis']",23,"271 Ashley Fork Suite 100
Michaelburgh, MO 35011",Huawei,58
30a7de62-d6a1-47d6-963f-0724adf18c4b,Debbie Stanton,DS@gmail.com,['animals'],30,"56824 Crystal Freeway
Hoovermouth, ME 38682",Huawei,12
c7b6e374-1bef-48c3-8222-cc231dbd5cce,Justin Hooper,JH@gmail.com,"['veganism', 'science', 'education']",8,"4719 Joseph Cape Apt. 672
Port Nathanielhaven, SC 42585",Huawei,21
eff1e86a-8ede-4a41-818b-9442e3181ee3,Eva Brown,EB@gmail.com,"['studying', 'fitness']",25,"PSC 8330, Box 1422
APO AP 16415",Samsung,8
346174b1-4661-4cdd-8c47-66dbd013cd56,William Christensen,WC@gmail.com,"['travel', 'veganism', 'food']",32,"24228 Abbott Roads
Johnsonhaven, AZ 90289",Microsoft,56
0f1f6aef-b094-4b4d-b6b6-412ebc42c12b,Daniel Beede,DB@gmail.com,"['healthy eating', 'public speaking', 'soccer']",34,"8639 Gary Springs
Ronaldview, HI 08179",Google,18
0828c4e1-63ec-4121-aa07-eefd37954bb9,Violet Thomas,VT@gmail.com,"['tennis', 'cooking', 'science']",4,"8690 Martin Hollow
Janetfurt, MN 29250",HTC,81
8665a934-dc22-482b-9289-2e2c9d6a4095,Gavin Anderson,GA@gmail.com,"['healthy eating', 'food', 'soccer', 'healthy eating']",42,"23776 Nathan Street
New Andrew, ME 65273",Apple,24
d4dc38d4-5c80-428f-95da-b746a275531c,Timothy Martin,TM@gmail.com,"['education', 'culture', 'food']",30,"PSC 9080, Box 4772
APO AE 11277",Microsoft,8
5ff89fb3-b364-494f-b62d-07097b2ffa12,Suzanne Campbell,SC@gmail.com,"['food', 'healthy eating', 'culture', 'education']",19,"55166 Christian Islands
East Stephanie, SC 24173",Google,84
bbef3be1-172e-44bb-be3b-013140707ecf,Marie Laflam,ML@gmail.com,"['studying', 'public speaking', 'soccer', 'food']",21,"8832 Madison Fork
Sherriport, MD 39044",Apple,72
fb4654ff-ce23-4a77-b52a-50f8948b5664,Jo Pearson,JP@gmail.com,"['culture', 'public speaking']",14,"60402 Liu Ports
Ryanmouth, MT 81556",Huawei,12
77908afa-eff6-49a9-b042-04fff799a0ff,Diane Hall,DH@gmail.com,['tennis'],21,"125 Robert Path
North Ashleystad, MS 10419",Google,31
26c6734f-42b6-48f8-a08e-e1c3a79019d0,Kerry Flores,KF@gmail.com,"['cooking', 'animals']",41,"9597 Guzman Bridge Apt. 326
West Veronicaton, SD 07093",HTC,35
41b0ee09-2868-4c4b-a22d-b533a7fa46af,Cristi Miller,CM@gmail.com,"['soccer', 'studying', 'science']",29,"99287 Wilson Park Apt. 318
Tonitown, IA 78146",Google,74
2ab641a8-6ad4-4d1a-8511-d87ff5346773,Kathy Johnson,KJ@gmail.com,"['education', 'technology']",39,"3272 Hall Camp Suite 066
East Nathanborough, AL 79047",Huawei,53
da97952a-2eba-46c4-a19e-3df3c40a1524,Rhoda Lopez,RL@gmail.com,"['animals', 'travel', 'science', 'studying']",38,"03312 Alexander Shores Apt. 213
New Krystalburgh, IN 99313",Microsoft,79
92c3576c-8634-42a8-8005-6e1ff8c207e8,Patrick Ponce,PP@gmail.com,['veganism'],25,"371 Payne Village Apt. 262
Brianton, KS 65215",HTC,11
a1a9c0bd-785a-478f-a19e-9eb48fae0bd6,Amanda Price,AP@gmail.com,"['public speaking', 'education', 'culture', 'science']",7,"82182 Matthew Point Apt. 310
Port Nicolebury, WV 57530",HTC,12
e8493c32-7f6f-4e57-a691-cf0df6f015c9,Elizabeth Holmes,EH@gmail.com,"['soccer', 'animals']",21,"7927 Curtis Glen Suite 568
South Thomas, CT 71151",Motorola,23
aa71ef91-252d-4c99-92ad-cf617f09fced,Rose Cook,RC@gmail.com,"['studying', 'studying']",3,"65135 Paul Cliff
West Wendy, KY 36605",Motorola,5
dcc6000c-ba92-472c-8bc1-9e9ca30b475b,Randal Davis,RD@gmail.com,"['education', 'food']",9,"45056 Tammy Springs
West Nicole, VT 62857",HTC,98
9ce133df-bd87-4559-96d7-a402add824ca,Yen Bruton,YB@gmail.com,"['science', 'studying', 'culture', 'culture']",16,"440 Morgan Groves
Sharonmouth, NV 16890",Samsung,36
63e07d14-7bed-44b8-9cf0-4a7e9b2a99ea,Bonnie Castillo,BC@gmail.com,"['dogs', 'studying', 'public speaking']",32,"42803 Crawford Extensions Suite 059
New Dustinshire, NM 59137",Microsoft,10
a559688e-3f10-436f-a25e-8ad553eacb89,Kari Jones,KJ@gmail.com,"['studying', 'tennis']",28,"351 Bolton Avenue Suite 438
Michaelport, OR 87388",Apple,19
3c45659f-e24d-4b0d-8210-0b7704ea1ac6,Mary Judge,MJ@gmail.com,"['education', 'studying', 'education', 'culture']",14,"788 Daniel Land Suite 400
Cameronmouth, NH 99911",Google,66
